smog_data
"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W JANKOWICACH, BAZIOWA, 43-215, JANKOWICE, 18.989423, 50.002529, 29.0, 936.9, 23.3, 28.0, 17.0, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA NR 4 IM. JÓZEFA PUKOWCA W PSZCZYNIE, ZYGMUNTA KRASIŃSKIEGO, 43-200, PSZCZYNA, 18.961125, 49.971182, 99.90000000000002, 987.6999999999999, 15.533333333333333, 12.5, 6.323333333333333, 2026-07-06 07:01:40"
"ZESPÓŁ SZKÓŁ W OTMUCHOWIE, KRAKOWSKA, 48-385, OTMUCHÓW, 17.167634, 50.4705, 65.06666666666666, 984.0333333333333, 18.333333333333332, 2.8, 1.51, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA NR 60IM. IGNACEGO ŁUKASZEWICZA W CZECHOWICACH-DZIEDZICACH, UL. ŁUKASIEWICZA, 43-502, CZECHWICE-DZIEDZICE, 19.016493, 49.899404, 88.96666666666665, 979.8666666666667, 15.800000000000002, 1.833333333333333, 1.013333333333333, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA NR 4 IM. GUSTAWA MORCINKA W SŁUPSKU, UL. LESZCZYŃSKIEGO, 76-200, SŁUPSK, 17.005017, 54.475286, 74.56666666666666, 1005.7333333333332, 13.866666666666667, 2.733333333333333, 1.4766666666666661, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA W KLESZCZOWIE, UL. SZKOLNA, 44-164, KLESZCZÓW, 18.527510, 50.344057, 61.9, 992.9, 21.2, 0.0, 0.0, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA NR 5 IM. GRYFITÓW W SŁUPSKU, UL. HUBALCZYKÓW, 76-200, SŁUPSK, 17.062723, 54.455744, 76.26666666666667, 1004.3666666666667, 13.733333333333334, 1.5999999999999992, 0.9066666666666661, 2026-07-06 07:01:40"
"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W POTĘPIE, UL. TARNOGÓRSKA, 42-693, POTĘPA, 18.662519, 50.565309, 99.90000000000002, 1010.2333333333332, 11.633333333333333, 6.133333333333333, 3.303333333333333, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA NR 3 IM. JANA PAWŁA II W PSZCZYNIE, UL. STAROMIEJSKA, 43-200, PSZCZYNA, 18.92452, 49.98849, 78.68333333333334, 984.9333333333334, 15.508333333333333, 7.158333333333334, 6.0, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA IM. MIKOŁAJA REJA W GORZYCZKACH, UL. WIEJSKA, 44-350, GORZYCZKI, 18.399689, 49.944774, 99.90000000000002, 985.8000000000001, 14.666666666666666, 0.46666666666666606, 0.26, 2026-07-06 07:01:40"
