NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP,ERROR1,ERROR2
SZKOŁA PODSTAWOWA NR 30 W ZABRZU, UL. LUDWIKI WAWRZYŃSKIEJ, 41-813, ZABRZE, 18.8038211, 50.3787192, 71.95, 983.4499999999999, 14.566666666666668,2.041666666666666,1.775, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 28 IM. MIŁOŚNIKÓW ROKITNICY W ZABRZU, UL. IRENY KOSMOWSKIEJ, 41-813, ZABRZE, 18.6721773, 50.293402, 75.81666666666666, 984.9499999999999, 14.658333333333333,2.5,1.933333333333333, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA W BORECZNIE, None, 14-230, BORECZNO, 19.6819503, 53.785392, 79.4, 998.2222222222222, 14.600000000000001,3.455555555555555,2.5, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 3 IM. JANA KOCHANOWSKIEGO W TYCHACH, UL. WOJSKA POLSKIEGO, 43-100, TYCHY, 18.967428851534244, 50.133349896354915 , 70.92222222222222, 988.2999999999998, 15.399999999999999,2.5,2.344444444444444, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWAW IM. HENRYKA SIENKIEWICZA W KOŚCIELCU, None, 59-223, KOŚCIELEC, 16.13685, 51.14836, 74.30833333333334, 999.9916666666667, 13.75,2.641666666666666,2.008333333333333, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 34 IM. IRENY SENDLEROWEJ W RYBNIKU, UL. WŁADYSŁAWA STANISŁAWA REYMONTA, 44-200, RYBNIK, 18.52614, 50.09058, 66.19166666666666, 988.5916666666667, 16.083333333333332,2.291666666666666,1.833333333333333, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 1 IM. STANISŁAWY ŁAKOMIK W CZELADZI, UL. WŁADYSŁAWA REYMONTA, 41-250, CZELADŹ, 19.073488, 50.3091799, 70.89166666666667, 986.9250000000001, 15.666666666666666,6.6,5.408333333333334, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 5 W CZELADZI, UL. LWOWSKA, 41-253, CZELADŹ, 19.092371, 50.3074791, 72.76666666666667, 984.4416666666666, 15.266666666666666,4.916666666666667,4.441666666666666, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 2 IM. JANA PAWŁA II W ŚWIERADOWIE-ZDROJU, UL. SANATORYJNA, 59-850, ŚWIERADÓW-ZDRÓJ, 15.3071925, 50.9269757, 81.01428571428572, 967.0, 12.814285714285715,1.3,0.8714285714285711, 2026-07-04 06:54:45,,
TECHNIKUM NR 2 W ZESPOLE SZKÓŁ BUDOWLANYCH IM. GENERAŁA STANISŁAWA MACZKA W BIELSKU-BIAŁEJ, UL. BUDOWLANYCH, 43-300, BIELSKO-BIAŁA, 19.0578358, 49.7952988, 63.37777777777777, 983.6444444444446, 16.833333333333332,2.2,1.822222222222222, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA ZGROMADZENIA CÓREK BOŻEJ MIŁOŚCI IM. FRANCISZKI LECHNER W BIELSKU-BIAŁEJ, UL. WŁADYSŁAWA BRONIEWSKIEGO, 43-300, BIELSKO-BIAŁA, 19.054075, 49.819524, 62.82000000000001, 983.3, 16.77,1.85,1.739999999999999, 2026-07-04 06:54:45,,
